year,state,pct_renew,genMWH_renew,pct_fossil,genMWH_fossil,genMWH
1990,ak,20.10098747996698,1125556.0,79.89901252003301,4473950.0,5599506.0
1990,al,15.710636399404395,12513857.0,69.15871794669955,55086394.0,79652133.0
1990,ar,12.552778675627305,4908086.0,58.482665218194825,22866487.0,39099598.0
1990,az,11.98812947279999,7525464.0,54.80169216391225,34401377.0,62774297.0
1990,ca,28.759717206829723,47679271.0,50.92537041474625,84426579.0,165784909.0
1990,co,4.451438941478876,1448860.0,95.65055771104738,31132465.0,32548127.0
1990,ct,4.677262489434806,1643929.0,39.03746429983549,13720594.0,35147247.0
1990,fl,3.035540306202268,3991813.0,79.29737911628226,104278078.0,131502553.0
1990,ga,7.471198672772516,7671893.0,68.04743459298929,69875352.0,102686240.0
1990,hi,9.773989894825716,948346.0,90.22601010517428,8754406.0,9702752.0
1990,ia,2.9726965722119045,893132.0,87.00360059173546,26139802.0,30044506.0
1990,id,98.28424465832084,9525193.0,1.042968175638899,101079.0,9691475.0
1990,il,0.23116800976773988,299114.0,44.211270221433516,57206055.0,129392471.0
1990,in,0.4714569087135154,478138.0,99.52854309128648,100938978.0,101417116.0
1990,ks,0.03884468494339467,13279.0,76.92614013274941,26297091.0,34184857.0
1990,ky,4.281939048673325,3160383.0,95.71806095132668,70646903.0,73807286.0
1990,la,3.886289827207335,2971676.0,75.8567620511333,58004351.0,76465630.0
1990,ma,7.057738372934061,2809757.0,81.88994999398534,32601217.0,39811011.0
1990,md,8.500926293031858,2819102.0,87.72546240169407,29091774.0,33162292.0
1990,me,47.0348451970505,7500183.0,22.482759641374955,3585104.0,15946014.0
1990,mi,3.0349100357919188,3036723.0,76.06206280554186,76107500.0,100059737.0
1990,mn,4.102915191638912,1767141.0,67.71227862046062,29163933.0,43070376.0
1990,mo,3.6933622204703633,2192115.0,82.8923153285193,49198935.0,59352830.0
1990,ms,6.325533203152823,1594124.0,64.22322205136322,16185162.0,25201417.0
1990,mt,41.59051412359663,10825916.0,58.40948587640337,15203856.0,26029772.0
1990,nc,9.75429636096192,8283911.0,59.29070384492377,50353085.0,84925767.0
1990,nd,6.339167394410035,1711148.0,93.66083260558997,25282113.0,26993261.0
1990,ne,5.270013706002615,1140093.0,60.00944734685005,12982196.0,21633587.0
1990,nh,24.335036705586916,3018809.0,42.769948979443775,5305696.0,12405196.0
1990,nj,0.7027475457502714,280880.0,40.19910613354395,16067114.0,39968834.0
1990,nm,0.761837077905486,219563.0,99.2381629220945,28600641.0,28820204.0
1990,nv,12.449814058721685,2496273.0,87.55018594127831,17554412.0,20050685.0
1990,ny,22.287491795453672,30165160.0,61.037237151220154,82611271.0,135345692.0
1990,oh,0.6280291375890333,803755.0,91.03953369405957,116512875.0,127980527.0
1990,ok,6.375090058480476,3001337.0,93.58292955747207,44058030.0,47079131.0
1990,or,83.6452664122355,42133991.0,4.296908717730934,2164449.0,50372236.0
1990,pa,2.1111172422890947,3707614.0,65.48513539868293,115007163.0,175623311.0
1990,ri,4.036968670189901,44702.0,95.9630313298101,1062614.0,1107316.0
1990,sc,6.46960713939097,4616917.0,34.15203617484839,24371977.0,71363174.0
1990,sd,61.212268025085436,3934402.0,38.78773197491456,2493071.0,6427473.0
1990,tn,13.68613628496991,10427140.0,68.50330347025329,52191029.0,76187609.0
1990,tx,1.1473992001729936,3230613.0,93.04637470495372,261981033.0,281559635.0
1990,ut,2.0276297364362024,660268.0,97.97237026356379,31903271.0,32563539.0
1990,va,5.90703322766117,3105000.0,50.362880180368265,26472975.0,52564458.0
1990,vt,28.659663972945573,1480016.0,1.3133729968466965,67824.0,5164108.0
1990,wa,86.79793023192863,88595978.0,7.572902819045542,7729778.0,102071533.0
1990,wi,5.960665962763145,2847342.0,70.53884919205834,33695602.0,47768857.0
1990,wv,1.6281850949510095,1295051.0,98.35772505811701,78233286.0,79539544.0
1990,wy,1.7387207218317764,695053.0,98.14771820313038,39234516.0,39974965.0
1991,ak,19.230558006674798,1036494.0,80.76944199332519,4353334.0,5389828.0
1991,al,14.648157765046829,13005603.0,67.47230314408212,59906372.0,88786612.0
1991,ar,12.145982543609243,4937493.0,56.67195572169945,23037855.0,40651244.0
1991,az,10.18164920554876,6842328.0,51.934836521310025,34901535.0,67202551.0
1991,ca,29.38940736220547,46713770.0,50.70040674148535,80587101.0,158947642.0
1991,co,5.733386965178357,1853122.0,94.32270556714207,30486601.0,32321593.0
1991,ct,5.902986510774504,1595959.0,48.827211780296594,13201153.0,27036467.0
1991,fl,3.305942805742575,4609036.0,80.6091048396652,112382545.0,139416689.0
1991,ga,7.631503647312887,7339456.0,64.86731725516975,62384930.0,96173131.0
1991,hi,10.682131414353398,929691.0,89.31786858564661,7773544.0,8703235.0
1991,ia,2.8709003783827476,926378.0,84.2778863274957,27194667.0,32267856.0
1991,id,98.02822661515965,9242708.0,1.3147524573853286,123963.0,9428619.0
1991,il,0.24312000954600843,316723.0,44.59168917717453,58091531.0,130274345.0
1991,in,0.4237688715849756,432165.0,99.57623112841503,101549134.0,101981299.0
1991,ks,0.032512284504217386,10609.0,82.01321373528026,26761521.0,32630743.0
1991,ky,4.8444435150000045,3657801.0,95.155556485,71847280.0,75505081.0
1991,la,4.1217993863445725,3090224.0,75.15165555010809,56343220.0,74972693.0
1991,ma,6.7030570682332336,2749580.0,84.0474296907071,34476080.0,41019791.0
1991,md,4.778915318415521,1904440.0,72.54630537179551,28910344.0,39850884.0
1991,me,46.24530038801869,8021147.0,17.637983709568463,3059270.0,17344783.0
